title,link,desc
人民日报,http://paper.people.com.cn/rmrb/index.html,
海外版,http://paper.people.com.cn/rmrbhwb/paperindex.htm,
中国汽车报,http://www.cnautonews.com/,
中国能源报,http://paper.people.com.cn/zgnyb/paperindex.htm,
市场报网络版,http://www.marketdaily.com.cn/,
健康时报,http://paper.people.com.cn/jksb/paperindex.htm,
证券时报,http://www.stcn.com/,
国际金融报,http://paper.people.com.cn/gjjrb/,
新闻战线,http://paper.people.com.cn/xwzx/paperindex.htm,
人民论坛,http://paper.people.com.cn/rmlt/paperindex.htm,
人民周刊,http://paper.people.com.cn/rmzk/paperindex.htm,
环球人物,http://www.hqrw.com.cn/,
中国经济周刊,http://www.ceweekly.cn/,
民生周刊,http://www.msweekly.com/,
国家人文历史,http://history.people.com.cn/GB/198819/index.html,
新安全,http://paper.people.com.cn/xaq/paperindex.htm,
讽刺与幽默,http://paper.people.com.cn/fcyym/paperindex.htm,
中国城市报,http://paper.people.com.cn/zgcsb/paperindex.htm,
社区首页,http://bbs1.people.com.cn/,
强国论坛,http://bbs1.people.com.cn/board/1.html,
深入讨论,http://bbs1.people.com.cn/board/2.html,
人民微博,http://t.people.com.cn/,
强国博客,http://blog.people.com.cn/,
环球网,http://www.huanqiu.com/,
人民在线,http://www.peopleyuqing.com/,
海外网,http://www.haiwainet.cn/,
澳客网,http://www.okooo.com/,
公开课,http://mooc.people.cn/,
"中央文献网,中国共产党历史网,中组部12380举报网,全国社科规划网,统战新闻网,中直党建网,紫光阁网,人才网,人事考试网,人民信金融","http://www.wxyjs.org.cn/,http://www.zgdsw.org.cn,http://www.12380.gov.cn/,http://www.npopss-cn.gov.cn/,http://tyzx.people.cn/,http://www.zzdjw.org.cn/,http://www.zgg.gov.cn/,http://rencai.people.com.cn/,http://www.cpta.com.cn/,http://citic.people.cn/","|,|,|,|,|,|,|,|,|"
"毛主席纪念堂,周恩来纪念网,邓小平纪念网,人大新闻网,工会新闻网,女性之声,科普中国,知识产权,中直学习网,人民消防网,城市网","http://cpc.people.com.cn/GB/69112/113427/index.html,http://zhouenlai.people.cn/,http://www.dengxiaopingnet.com/,http://npc.people.com.cn/,http://acftu.people.com.cn/,http://www.womencn.cn/GB/index.html,http://kpzg.people.com.cn/,http://ip.people.com.cn/,http://www.cpscp.cn/,http://119.people.com.cn/,http://www.urbanchina.org/","|,|,|,|,|,|,|,|,|,|"
,,"
,
,
"
,,"
,
,
"
,,时政
,,社会
,,法治
,,国际
,,台港澳
,,军事
,,财经
,,"
,
,
"
,,"
,
,
"
,,"
,
,
"
,,"
,
,
"
,,"
,
,
"
,,"
,
,
"
,,"
,
,
"
,,"
,
,
"
,,"
,
,
"
,,"
,
,
"
